,codes,activities,units
434,95ce71c73dc341e336dcced5644a09a1,"market for protein feed, 100% crude",kilogram
435,a196b0c29afa065ed659bac257a5ec54,"market for mine infrastructure, iron",unit
436,d508cbf76f2c6ecd71a1d6c00bf72b2b,market for clay,kilogram
437,431a88ae9238794d23c6938e38a754f7,"market group for electricity, low voltage",kilowatt hour
438,feb20936a5aa0baa4f5771436dd65948,market for municipal solid waste,kilogram
439,8d6cdea54d42054e35efb4b485557bf4,market for irrigation,cubic meter
440,e145b3a3de4df6e56216da0941c67419,market for coke,megajoule
441,de9ef7d7333115c758e33f74525d932b,market for monoethanolamine,kilogram
442,2178d9fb53d2ffec1fd4482f200aef22,"market for water, deionised, from tap water, at user",kilogram
443,53cc368706a5c6717b5f0921a2f1d91f,market for kaolin,kilogram
444,27ee681b484fbbd33f109265251fb8d7,"heat production, natural gas, at boiler condensing modulating >100kW",megajoule
445,6a7f05f0fadb415e3a0d92b4ca1ce381,"market for silicon, electronics grade",kilogram
446,4cf3036c32dc31e7ca75aeda9f8ac9e9,market for ultraviolet lamp,unit
447,75b835c813031007a4be0a644a87a6ae,"market group for electricity, high voltage",kilowatt hour
448,c0d89173947daaa14da3a1e706a77a30,market for magnesium factory,unit
449,04d83c7892991a382a81770e1c6adfaa,market for corrugated board box,kilogram
450,d9dd05c9e1ba05e4d3077a8a59481301,market for sodium nitrite,kilogram
451,e11be22b4afc5a2688a6fbc4d5f9b4a7,"market for oxygen, liquid",kilogram
452,898590d255fac973fd795bc1c401daf6,"market for electricity, medium voltage",kilowatt hour
453,440e4ef7985f196c708cd55bd641135c,"market for electricity, medium voltage",kilowatt hour
454,977c2701afb697a43e3a1b1aa6d90a94,market for maize grain,kilogram
455,6d784227f85ca4660c7d9b3831570044,"market group for electricity, high voltage",kilowatt hour
456,fecf8ad7c745cdbc9c183a7a4fd0c040,"market for soybean oil, crude",kilogram
457,c0623166341cfdedf84604b031176120,market for waste newspaper,kilogram
458,6e643b7d9f46dc255b8c85d188c618e7,market for brass,kilogram
459,ad44eed67d3e16d0e8f67dfd6dee9c7e,"market for electricity, high voltage",kilowatt hour
460,5292e746fe46492e274ab47683465990,"market for electricity, medium voltage",kilowatt hour
461,2660c7485f125d5172f12a01688ace28,"market for waste emulsion paint, separated",kilogram
462,b59e3385667066b01fb72aed604b2b32,market for glycerine,kilogram
463,4d3553e0ea356529fcabfe3b721e6d14,"market for glass fibre reinforced plastic, polyamide, injection moulded",kilogram
464,582fa68b18f993449934689e1acbc27b,"market for transistor, wired, small size, through-hole mounting",kilogram
465,59912248789a7ff2cc1598d31bc64aec,market for EUR-flat pallet,unit
466,e33793009ac92c9b2786c8d27af1d061,"market for waste wood, untreated",kilogram
467,dd2b45bf05bd5cefbfdef6585fbfe4f9,"market for electrode, positive, LaNi5",kilogram
468,38e06a3be63f5453c1b0ddfe4e2fd572,"paper production, woodfree, coated, at integrated mill",kilogram
469,4ed4847cb8e815a69cea62db59a0740f,"market group for electricity, high voltage",kilowatt hour
470,8974840b1c929139d034d6e64de446fc,market for palladium,kilogram
471,e8222b263644b596c8b5ff921691d12c,market for tetraethyl orthosilicate,kilogram
472,1bc0f81984b994dfe616340b00464292,market for acetylene,kilogram
473,93f39dbee91a2baba122b290a6e7241c,"market for waste concrete, not reinforced",kilogram
474,3fbdd8f8e68c10641f5a63dc5a357f92,"market for sheet rolling, aluminium",kilogram
475,13d5730679a3556f2652714c3267432b,"market for printed wiring board, surface mounted, unspecified, Pb free",kilogram
476,b181c5fe94d887d96b91bfe0d068dea1,"market for waste textile, soiled",kilogram
477,2bc09d05fe594fd5bd43952c30b1c6e3,"market for heat, district or industrial, other than natural gas",megajoule
478,fd40b28626edef59561f3394155d3ea6,market for hazardous waste incineration facility,unit
479,0f46111a85febb47633058d639dcc84f,market for titanium dioxide,kilogram
480,cfe50e778d57079f76cde1e777c08ec8,market for metal working factory,unit
481,2fc74dc8c3ff0f9f64a6d743d17a17fa,"heat production, at hard coal industrial furnace 1-10MW",megajoule
482,e2a0f9a5c8e27df152aecf671ce27175,"market for electricity, medium voltage",kilowatt hour
483,c93fbace4f8a933b943a783fe33464b7,market for coal slurry,kilogram
484,10a99599dfc3a449f573b8a45cf09018,"market for section bar rolling, steel",kilogram
485,541480dd97167c47d7ee14e6e219b764,market for formic acid,kilogram
486,5d7b81539ec02c29e79cc3c05e7cf896,"market for polyvinylchloride, emulsion polymerised",kilogram
487,1c5dbfd9949e095d89a08d347bb0562b,market for cumene,kilogram
488,5b903d06fd6f0e0fb79377c395aae472,"market for coconut, dehusked",kilogram
489,f59eb71ce814b136ab44587b2684265b,market for waste polyethylene,kilogram
490,cd1c52a88fc5be045481caf177554f8c,"market for fleece, polyethylene",kilogram
491,3d17d810ad085f931c8ae61fb9a90368,"market for electricity, medium voltage, aluminium industry",kilowatt hour
492,3823c426fd861a0081c984fb847ea7a6,market for acetonitrile,kilogram
493,f3712c2ad8f0ce0600840dcc402c0fb4,"market for sodium sulfate, anhydrite",kilogram
494,83a92e254e615aaecd563fa768470936,market for sodium sulfide,kilogram
495,3756a68a18bf6bf903b9c5bf3489929a,"market for ammonium sulfate, as N",kilogram
496,1ba1ef4155811cfedfb5c80cdceae5f2,market for inert waste,kilogram
497,5665f0a2b1b03ab22a2993178abb39e4,"market for electricity, medium voltage",kilowatt hour
498,01a09e4b1ab9fce66eda1c6c47f05794,"market for transport, freight train",ton kilometer
499,09bb2cc9ff96eb23d4f6523035e410fe,"market for waste wood, untreated",kilogram
500,58c6d14b76d0147d4aa55e1a7d669fe8,market for lithium,kilogram
501,c088aea59da4f1e655819f1ccf74f43d,"market for section bar extrusion, aluminium",kilogram
502,ac015350c8d805cb0bf7b9ae83fe7aed,"market for waste plastic, mixture",kilogram
503,4cf931db6daf3f62d3ca26693bb9ca3d,market for paraffin,kilogram
504,8b47a608ad1a7c9e5f3848b12f3d960b,"market for acetic acid, without water, in 98% solution state",kilogram
505,d26628e2c8b1af23fa51c3e1547862e3,market for waste paint,kilogram
506,ef8a9e6d5321679ba655c9a95e649e9b,"market for diode, auxilliaries and energy use",kilogram
507,4beedb8a26bed6c2ccf7ec2084b3535c,"market for printed wiring board, for through-hole mounting, Pb free surface",square meter
508,8a898f034b8106adc3f42ea42aa8dd35,"market for electricity, medium voltage",kilowatt hour
509,97a8be2bfbe1df3f5990d096b48852ec,market for cyclic N-compound,kilogram
510,adc4ad8736f5289721022b96034f7020,"market for water, deionised, from tap water, at user",kilogram
511,f72f488649125b3aa7282a71c6ba9533,market for carbon monoxide,kilogram
512,f53dad1f4f1642d97dff9e852c8c4e32,"market for sodium silicate, without water, in 37% solution state",kilogram
513,55415388d23dcc85578e2f707c9d4cb5,"market for used lorry, 16 metric ton",unit
514,70fae64273e743b5949ae629699b1622,market for foaming agent,kilogram
515,c2443d895dd7d675d8e0bcd0e34e4ce5,market for air separation facility,unit
516,01dd8481b94dae3400649783dc106cd7,market for sodium pyrophosphate,kilogram
517,db3e8cf345325d20af0302a634063217,market for scrap steel,kilogram
518,482ebefbc1623c7738fcddf362771b6d,"market for sludge, pig iron production",kilogram
519,7dbd76d5c91c3370ef6c8dd3a06d8196,market for blasting,kilogram
520,ea320e5e4be344b8614e4c5552398d3e,"market for electricity, medium voltage",kilowatt hour
521,aa07ab79f5ebc069a3d2c1e6cdaf92a8,market for core board,kilogram
522,407ab6d419c6f95ab7428567b8e6c89b,"market for mine infrastructure, steatite",unit
523,be0e3744265524659fbb08348ac82d43,market for phosphorous chloride,kilogram
524,a6f999e78e1d1cc5674feb59b3a4b104,market for waste polyethylene/polypropylene product,kilogram
525,9efa6db1b548459d076efecc9294c6c2,"market for waste rubber, unspecified",kilogram
526,3843b56e14341adf4bdde7edb7ace64e,market for road vehicle factory,unit
527,d5b9410125af1e955e8259327a15dd1d,"market for transport, passenger car",kilometer
528,48cf86068b20660694841d7c7e89cef9,"market for electricity, low voltage",kilowatt hour
529,2fe65d2abc746da422ec93f669912d94,"market group for electricity, low voltage",kilowatt hour
530,168c30d7e99db9f0defa8ca30692dc67,"market for kraft paper, unbleached",kilogram
531,2db6442f21a65841a69b94ef690f860a,"market for mine infrastructure, open cast, ilmenite from hard-rock ore",unit
532,2114d0ab71505029c98b63d8b5679e43,"market group for electricity, low voltage",kilowatt hour
533,3c1ca06553d4fb51aa28a13dcd5ada1e,"market for ferronickel, 25% Ni",kilogram
534,c0fe92f83c3eb331750f7b7d146c2436,market for spent solvent mixture,kilogram
535,34f9800d53ea6eeff8ac053eed3d908f,"market for electricity, medium voltage",kilowatt hour
536,6d88c17d240bd383f1bdd4be99dc65eb,market for ethylene dichloride,kilogram
537,5deb1131cf826b194516980b6ba72a07,"heat production, wood chips from post-consumer wood, at furnace 300kW",megajoule
538,2c2097097682e0e585aec2cd13558f79,market for fluting medium,kilogram
539,bab1cae2c76b580210e23a951720b295,market for acrylic acid,kilogram
540,8c1055c34bfc73ed7be29f01ee9c446c,"market for textile, woven cotton",kilogram
541,0cb343f26fa0a570d556aa7e407266d5,"market for electrolyte, KOH, LiOH additive",kilogram
542,6be485351a6e0d42fccb1b503432acf5,market for irrigation,cubic meter
543,428edbf1a2cf1fdf4f038de77d44ca9c,"poultry manure, fresh, Recycled Content cut-off",kilogram
544,c4c0e95f83622e904acb5fea69c867d0,"market for sodium dithionite, anhydrous",kilogram
545,8780214491c28147f7439f96a2b262fb,"market for EDTA, ethylenediaminetetraacetic acid",kilogram
546,6f3a43be57999fbd22bd147e5402f70d,"market for electricity, medium voltage",kilowatt hour
547,92e387e281a6aab351faf6cedbfce012,"market for cement, Portland",kilogram
548,b761ad94564466ee015117f1ab815ffa,"market for hazardous waste, for underground deposit",kilogram
549,3ca752c72c110348fa3debaa9b43f60a,"market for used internal combustion engine, passenger car",kilogram
550,f6e3d9695fdc675765ac53179685ba53,"market group for electricity, low voltage",kilowatt hour
551,81d76d492ff83475c65071c2622a6f70,"market for sodium silicate, spray powder, 80%",kilogram
552,d26b33b800225508df632267fc6bc286,"market for heat, district or industrial, other than natural gas",megajoule
553,3a91138141873e96d348476ec704519c,"market for electronics, for control units",kilogram
554,f5d1c199f9b95cae4fe0bbc1afa067f0,"market for steel, unalloyed",kilogram
555,f91efb8758ca203688a82efaada469d5,"market for potassium chloride, as K2O",kilogram
556,78350e01244b7c603c57788369771f93,market for ethoxylated alcohol (AE7),kilogram
557,3d121e2ae15a381ace290e09beba24a7,market for methanol,kilogram
558,43a341f3ad04d3a542a910a2e4e4e372,market for ash from deinking sludge,kilogram
559,1c1d7955ff9c7b8ebef30acaf1952c72,"market group for heat, district or industrial, other than natural gas",megajoule
560,996bd7641f64347d8740abfe4e901a34,market for irrigation,cubic meter
561,5bbeabb5cb51216ca42ee3fc9aed930f,market for gravel/sand quarry infrastructure,unit
562,2e49217bf7bc0f3b0f47c8487342be40,market for propanal,kilogram
563,f19e0fadcb5b20607b63798a44720d4a,"market for electricity, high voltage",kilowatt hour
564,f508719cba29bd92eaa05d7e8423aa71,market for barite,kilogram
565,1911e9cb58f58bce5098432db01451c7,"market for phosphorus, white, liquid",kilogram
566,ab7e30c5113e3f22ae6883c3c9f59680,market for fly ash and scrubber sludge,kilogram
567,1e8589891f321d6f16df1bb3fa3b51d7,"market group for electricity, medium voltage",kilowatt hour
568,792464f1ce3979c56db26379b74692f8,"market for sodium chloride, powder",kilogram
569,3781de39d137830e00d0d439e38e9d60,market for injection moulding,kilogram
570,d5af894919a407728d20e32cb4adfe87,market for liquefied petroleum gas,kilogram
571,919aba3512aa390f6870443f6538b882,"market for chemical factory, organics",unit
572,44e32fc9c8c60cdd3c5cb190fcb95cf8,"market for hazardous waste, for incineration",kilogram
573,d2bf2d3121d602a6297ab385181f8e86,"market for wood ash mixture, pure",kilogram
574,9bf8604690f4fad29b9981bde701a56f,"market for packaging film, low density polyethylene",kilogram
575,e448b59ed4ada0ccd2a42a10c22c5d4f,market for n-olefins,kilogram
576,5cc3ee37a30d072c318545fcb0f84a22,market for phthalimide-compound,kilogram
577,3e07a0ecaa5df0c4137089cbb9519b75,"market for natural gas, high pressure",cubic meter
578,99811986712ae549ce44f47c61e7f4f4,"market for transport, passenger car, large size, petrol, EURO 3",kilometer
579,49f2534ba2a5533decf33fdaeb76c75c,market for scrap lead acid battery,kilogram
580,aced0c44d95d8e07bae9d80a2d340e50,"market for kraft paper, bleached",kilogram
581,6000c67ed7fca09089fca08adc4517b0,"market for pulpwood, hardwood, measured as solid wood under bark",cubic meter
582,bfe8536e01864be2d02956453c1b1a93,market for scrap aluminium,kilogram
583,a49c9f237fe3e6f5c06c2a6b4f92af6e,"market for iron scrap, sorted, pressed",kilogram
584,3088b3122ccc7a3b6d269fa4adf971cd,"market for electricity, high voltage",kilowatt hour
585,793ee3d7e30fe324f90f91d727b16b56,"market for wax, lost-wax casting",kilogram
586,494565a414fb7c6f4fa81fab8781bd04,market for glyphosate,kilogram
587,13c3413a7ddca42350133727eac1b22d,"market for stone wool, packed",kilogram
588,68b8acda5a864b24d87bde66c40604a1,market for sulfur,kilogram
589,ae5a23ead70df2c4a46424fc57481dfe,"market for electricity, medium voltage",kilowatt hour
590,a9b8dafd2ad87ceb795f6c0a06c2d676,"market group for electricity, low voltage",kilowatt hour
591,846191634c111a7ef33c39320c2653bf,market for waste mineral oil,kilogram
592,e8aeee03ef75b98c2014834586751db8,"market for calcium carbide, technical grade",kilogram
593,95b19bfccb58deaade69ae4dbca88dec,"market for electricity, medium voltage",kilowatt hour
594,85721e15c75cf08c128e194ec483ee5c,"market for water, deionised, from tap water, at user",kilogram
595,60219c77cc151a7b3c2b8f630d803efd,"market for inert waste, for final disposal",kilogram
596,160e001cf020e8bf91ce0f2f7ca539d7,market for ferrite,kilogram
597,1686defd0730d35601f5c0148d57cc7f,"market for electricity, high voltage",kilowatt hour
598,7c5db2c4e293239d5ffa19ea0c548232,market for hard coal,kilogram
599,8d33543de8c4c3fe4b141a3de7c29078,market for hydrogen sulfide,kilogram
600,57d53ea97808357eaf115300556e1732,"market for hazardous waste, for incineration",kilogram
601,b4875cedbea4d728efe21c07d948fea3,market for used vegetable cooking oil,kilogram
602,015e9aef83f1014882a2a0f9f96ac17e,market for waste polyethylene terephtalate,kilogram
603,8d6425d6f85ce7abe890366b6c4749aa,market for waste paperboard,kilogram
604,fd0530ba7e43e2ee88e5576fea718ebc,"market for manure, solid, cattle",kilogram
605,7dbf4e3d01460ea6f5e99a5f984a6095,"market group for heat, central or small-scale, other than natural gas",megajoule
606,ca6809e4762f1640f30ad728b268ccfb,market for titanium dioxide,kilogram
607,e2e915d0ffc0d8d7b97f4981222de8af,market for light emitting diode,kilogram
608,b88fe2ebe8d73a8783b1b111f12ee7d3,"market for epoxy resin, liquid",kilogram
609,bc7c57b0c9050ff3c4791e41ffef5343,"market for butene, mixed",kilogram
610,e2b6a19530d1f552ebeb042487d41100,"market for polystyrene, expandable",kilogram
611,17f3a08f60e5bda6a459353007843a26,market for p-dichlorobenzene,kilogram
612,dd66ca120c00004ae6d0c814cd905924,"market for integrated circuit, logic type",kilogram
613,8e27dd75756852a2a48eeae214a2e3eb,"market for hydrogen peroxide, without water, in 50% solution state",kilogram
614,219b0d6363fb42f0a8ad91850d6256d2,"market for electricity, medium voltage",kilowatt hour
615,4647f336081a12454d82102bc94e2c6f,"market for ammonia, liquid",kilogram
616,6da723efdb95958b0e1d05aa5cbd54aa,market group for tap water,kilogram
617,246b932a689898ed14e021b74e807d28,"market for electricity, medium voltage",kilowatt hour
618,e58410c4d048b1d7b74b315efb787381,"market for heat, district or industrial, other than natural gas",megajoule
619,b86006cfcfc3459fbc17ba535e753387,market for synthetic rubber,kilogram
620,2fbd8fd9788bb7fd3569ac87f92a9b1e,"market for aluminium, primary, ingot",kilogram
621,a727deb09cddfbccbce19fda5f9e0c5c,"market for printed wiring board, through-hole mounted, unspecified, Pb free",kilogram
622,fbc5d4f66ca63fc47832691826277d7a,"market for heat, district or industrial, natural gas",megajoule
623,7e200ede2a8a396de063ac33d8e56518,"market for dust, alloyed electric arc furnace steel",kilogram
624,24f6e893bf905f0a226a5f459e06f908,market for irrigation,cubic meter
625,69afb378835b249d0c63924435731a4a,market for sulfur trioxide,kilogram
626,a6efa42599de1ffb9e611a96e9150e7a,"market for electricity, medium voltage",kilowatt hour
