,codes,activities,units
81,0e718dd998cd3c6ca2aac0076cfe10d8,market for cast iron,kilogram
82,47ad352c3701b5c4b02c5ffcecca40f9,"market group for electricity, medium voltage",kilowatt hour
83,3e4a87301edc7f5b25f3b2556e7198e1,"market for electricity, medium voltage",kilowatt hour
84,72a3219ddef874cc880cc6022ea2d157,market for melamine formaldehyde resin,kilogram
85,d978bd0bd40a10f4a6fb2b5897774cb7,"market for sheet rolling, chromium steel",kilogram
86,396ad07ea644f571bd25a3395f48f3eb,"market for printed wiring board, through-hole mounted, unspecified, Pb containing",kilogram
87,bf312b74a4cb97180defe51ef582b3d4,"market for propylene glycol, liquid",kilogram
88,e9e8cc60b276e1c60226e85dfb3ac715,"market for nickel, 99.5%",kilogram
89,fc96d2b284cb78ba4adedef68d5b912c,market for isobutanol,kilogram
90,42bb363b9d648d80ecb46cfd82b96b2a,market for waste mineral oil,kilogram
91,c4009d80074547e18f044bd8ba5eb82b,"market for electricity, medium voltage",kilowatt hour
92,e44aae508507b04b30a3c703ed3232e8,"market for waste cement, hydrated",kilogram
93,222fc8dcc5a5ae5e20a92caf23bd00a8,"market for thermoforming, with calendering",kilogram
94,efcb9bee77661d1387f629169bff5168,market for rye grain,kilogram
95,f746b1e920e8d0270a434e747bdc9d7c,"market for process-specific burdens, residual material landfill",kilogram
96,b49c36b2e8716b7fbf72444319382164,"market group for electricity, high voltage",kilowatt hour
97,978ae53ea24c429ff1f2d8bb5b4504f6,"market for soda ash, light, crystalline, heptahydrate",kilogram
98,684f1f3173621285c0a19646c827c82b,"market for sawnwood, softwood, dried (u=10%), planed",cubic meter
99,810eacb74a37624b95f8d59b4a37a62e,market for clay,kilogram
100,61139f4e3e4b4f04084fdc0064d9e892,"market for diode, glass-, for through-hole mounting",kilogram
101,961e1a5a6b33189c05aec22da0879600,market for inert waste,kilogram
102,7cc3c2c61d2ea4a81a586a6009e511d1,"market for nitrogen, liquid",kilogram
103,a3441beceba4871aec58b946f7daf902,"market for electricity, high voltage",kilowatt hour
104,d4d40c24ff4c9e01f4c743adf8fc99e7,clinker production,kilogram
