,codes,activities,units,Totals,Small,Medium,Large,Mysore City
615,797f39395ebf063cc7aa1bec6a5da92e,"market for electricity, medium voltage",kilowatt hour,613089.5937899865,451180.5918739849,3464.0190069260275,158439.79707354459,455842.5813465316
616,c4989ea20f06040453f9d3d59821f19a,"market for resistor, metal film type, through-hole mounting",kilogram,9.459916576313155,9.459916576313155,0.0,0.0,0.0
617,2fbb4255ada48b855f42548660bb9ad6,market for epichlorohydrin,kilogram,815.8595398134968,815.8595398134968,0.0,0.0,815.8595398134968
618,5b26700e63a6bfa75af2ebbb2f16f9d3,"market for electricity, medium voltage",kilowatt hour,63411.31495910292,11568.515306322979,0.0,51842.79965277995,9550.633424348895
619,822bedf325fed918ecd9a7c83490e7cf,"market for natural gas, high pressure",cubic meter,3850.903097109582,1783.7888582270557,1460.0428573187608,607.0713815637671,1054.4286695104497
620,3ecd7cb07efe822b692dd35796a4ae4c,market for chromium,kilogram,73441.27637779624,0.18516149792037548,0.0,73441.0912162983,73441.27637779624
621,6f3a43be57999fbd22bd147e5402f70d,"market for electricity, medium voltage",kilowatt hour,2833.2522468984234,2833.2522468984234,0.0,0.0,2833.2522468984234
622,72a3219ddef874cc880cc6022ea2d157,market for melamine formaldehyde resin,kilogram,1735457.7614527505,301178.5930671448,0.0,1434279.1683856063,1604567.2018812646
623,810eacb74a37624b95f8d59b4a37a62e,market for clay,kilogram,7277639.200031264,4467511.90400557,0.0,2810127.2960256934,1329560.53093171
624,343c18d59779b97aa1f03e0e160575dd,market for rolling mill,unit,0.026260178912327525,0.01606399430233046,0.0007161312747614845,0.009480053335235565,0.026252814774475133
625,2fbd8fd9788bb7fd3569ac87f92a9b1e,"market for aluminium, primary, ingot",kilogram,221284.72777225444,221284.72777225444,0.0,0.0,173831.87352851927
626,4b077781b81276394fdcd78f50b5f46f,"market group for electricity, medium voltage",kilowatt hour,6352.346686817351,0.0,6352.346686817351,0.0,0.0
627,1f4e128cddd35a7f2616b08c866d7a69,market for waste polyethylene terephtalate,kilogram,-4.473388517572608,-4.473388517572608,0.0,0.0,-4.473388517572608
628,2db6442f21a65841a69b94ef690f860a,"market for mine infrastructure, open cast, ilmenite from hard-rock ore",unit,0.00010323511134911015,0.00010323511134911015,0.0,0.0,3.625151976520789e-05
629,1ba1ef4155811cfedfb5c80cdceae5f2,market for inert waste,kilogram,-190263.3551184544,-190263.3551184544,0.0,0.0,-190263.3551184544
630,ba4f24b823d8fcbc7293bf29babd18ad,market for scrap steel,kilogram,-815013.2576298536,-815013.2576298536,0.0,0.0,-770483.0061941006
631,48cf86068b20660694841d7c7e89cef9,"market for electricity, low voltage",kilowatt hour,5142.788506966784,1300.0549721853165,184.51905972757584,3658.2144750538923,5042.763081570263
632,a9f449b65099fa4d346660ec67b41704,"market for electricity, low voltage",kilowatt hour,627217.7633973603,158555.53282875003,22504.062103610297,446158.1684649986,615018.5987777979
633,61139f4e3e4b4f04084fdc0064d9e892,"market for diode, glass-, for through-hole mounting",kilogram,1299.0135473077669,214.41622404769652,0.0,1084.5973232600702,861.5159185047662
634,c18923c1432219fefd2d5dba9d330076,market for sodium cyanide,kilogram,110300.80630617964,110300.80630617964,0.0,0.0,99473.32881451066
